subject,trial_type,trial_num,ic_video_frame,hip_flex,knee_valg,trunk_lean,ankle_angle_sagittal,peak_vgrf_bw,loading_rate_bw_s,bw_N
sub06,DJ,1,883,8.157990113842441,12.655611384968331,1.3265806051372953,178.45193763299065,3.181621325976015,34.96287171402214,627.84
sub06,DJ,2,949,6.423625428693102,10.804207647960645,9.412650223189424,167.32594135543982,4.876786464337301,81.2797744056217,627.84
sub06,DJ,3,1006,7.663640952748313,13.574189101026846,0.6565073332489679,176.7944213124741,3.3320645673559346,46.278674546610205,627.84
sub07,CMJ,1,869,6.79559612796729,12.59984792632077,2.1347960744611756,159.60957463886177,5.353227932275739,140.8744192704142,490.5
sub07,CMJ,2,841,7.482627999560019,15.976070632388096,1.825481627548872,167.74625624452156,4.972128398556957,165.7376132852319,490.5
sub07,CMJ,3,831,8.352872904875777,18.573531215978228,3.1528215054115725,97.94829143718513,5.838036462315239,324.3353590175133,490.5
sub07,DJ,1,1054,10.168980608205448,12.214710918715156,1.3672256395488669,171.92833421389903,8.646836773700306,137.2513773603223,490.5
sub07,DJ,2,692,9.28979234623031,12.246061759751509,0.06720823615493997,168.25459898071534,8.517030612895006,137.37146149830653,490.5
sub07,DJ,3,889,9.25962137565252,13.830852284012273,0.42203822170940575,165.709530782535,8.426873536649465,138.14546781392565,490.5
sub08,CMJ,1,626,7.907108290998062,7.160383158341893,4.103935013009776,170.66317605331176,3.154222636866381,46.38562701274089,519.9300000000001
sub08,CMJ,2,753,6.911256282797014,9.928570472209854,3.0938991012931916,170.76331455887095,3.746086039752346,63.49298372461603,519.9300000000001
sub08,CMJ,3,790,7.225675674050665,11.598941173591601,0.2796957004226613,173.76726167404968,4.069006307978056,62.600097045816256,519.9300000000001
sub08,DJ,1,783,6.044662871093562,10.789554702690081,2.1309464610274462,170.17726160751909,4.073805138882878,99.36110094836287,519.9300000000001
sub08,DJ,2,547,25.243802490299185,0.27981603785918435,6.380058935619031,21.173221692631266,4.853962697277157,115.57054041136088,519.9300000000001
sub08,DJ,3,729,6.521536981335538,9.717255904011093,1.3703999660719663,167.67268820475334,4.105679171204537,100.13851637084235,519.9300000000001
sub09,CMJ,1,784,5.545922532386751,12.963339263642464,1.8037123526595806,178.74316139245457,2.3248267995229677,38.11191474627816,981.0
sub09,CMJ,2,627,6.394496004844796,13.92400485949491,1.685903485554221,176.42124261697177,2.64657732762328,42.00916393052825,981.0
sub09,CMJ,3,617,3.6901774961273617,19.446659347219615,4.422820229032909,176.5695392268929,4.3662865937181445,103.95920461233678,981.0
sub09,DJ,1,1037,5.558580631452729,15.492567108642874,0.5482926125330655,166.60424115460205,4.464112572470693,87.5316190680528,981.0
sub09,DJ,2,625,6.226391688169867,12.170320591718152,0.71887034028171,167.76758257662476,3.9979524291618884,86.91200932960626,981.0
sub09,DJ,3,643,5.939128236181658,14.508308166480436,2.3624818461797163,153.59254673149655,4.5857105313455655,111.8465983255016,981.0
sub10,CMJ,1,1011,4.317127082966334,17.22034634631268,2.9647795745410517,154.65491619456557,4.3634841179408035,92.84008761576179,863.2800000000001
sub10,CMJ,2,1131,5.09747487941067,14.820901103460988,1.8948190495552286,155.72155669778493,3.672938151991894,57.38965862487334,863.2800000000001
sub10,CMJ,3,1136,4.024502642204643,13.649853512692818,0.5084975351226559,150.27447681287623,4.731984368710398,96.57110956551833,863.2800000000001
sub10,DJ,1,882,3.9382133677180873,16.95330449212352,3.995620539179888,163.56970809487603,5.468384049243872,84.12898537298263,863.2800000000001
sub10,DJ,2,822,2.6498604742735066,16.545117427227417,2.2243316215104625,159.45624945454045,4.37761026961668,56.12320858482922,863.2800000000001
sub10,DJ,3,652,3.878026203353228,16.88847128833436,0.22619042134610762,167.23335818285761,3.093344976789106,39.658268933193675,863.2800000000001
sub14,CMJ,1,611,4.946443478947804,11.613341991558837,0.48495097985114577,160.25897144405502,5.477696113565839,92.8423070095905,500.31
sub14,CMJ,2,578,5.166018761780674,11.491256655532673,0.4075874780501434,164.2092762214778,3.2283376640467285,38.43259123865153,500.31
sub14,CMJ,3,602,5.5968088041637785,7.230258276874432,1.3720864169814806,168.58930813066348,2.74547480757243,33.894750710770744,500.31
sub14,DJ,1,817,5.346686939588508,13.526851155145387,2.7242752359189906,160.90834318412732,4.752971858619531,74.26518529093018,500.31
sub14,DJ,2,956,5.038004563840634,10.90642456419915,3.9066723286219043,157.77635188931362,4.874961410644151,77.38033985149445,500.31
sub14,DJ,3,887,4.513062017632556,12.205045608639036,2.6365403640433236,159.10660791570007,5.30600275875832,88.43337931263866,500.31
sub15,CMJ,1,781,7.2997590378521116,12.212132142760211,2.468957280043081,166.89447489707624,6.475185889931535,166.03040743414192,510.12
sub15,CMJ,2,689,6.913509494436076,14.718647981225775,4.255102157670839,170.53588619875117,3.8635477649177523,52.21010493132098,510.12
sub15,CMJ,3,660,5.211744976624328,12.527514060176047,7.6772395074062265,158.44392868726595,4.758643072034522,103.44876243553307,510.12
sub15,DJ,1,804,8.801720387051901,15.059243302465777,4.783850137164843,163.85244236832884,5.258049490423209,134.8217818057233,510.12
sub15,DJ,2,920,10.854066399510973,11.437702605316684,0.28453073424591413,172.5131006454518,4.472812080368345,87.70219765428128,510.12
sub15,DJ,3,512,9.250986877114636,12.481816464961687,1.7335597353014625,177.74593528431987,4.5450427583981465,103.2964263272306,510.12
sub16,CMJ,1,739,3.9856389075777767,8.232033831770115,2.9304422168836965,168.2936314305706,4.138675455950383,81.15049913628204,706.32
sub16,CMJ,2,707,3.1967376716364377,14.227757681944901,0.6707761179007089,161.74667600034286,5.180318272657931,148.0090935045123,706.32
sub16,CMJ,3,758,3.3866311741836004,12.20970287981002,6.5354576848263815,125.7332978577208,4.097574890530761,128.04921532908628,706.32
sub16,DJ,1,954,4.137019885091945,10.71120460778986,3.193459659318928,166.30607013353045,4.489040169525232,102.02364021648255,706.32
sub16,DJ,2,831,3.6731645477279264,15.45608359062407,0.2478979750464293,36.16565949667549,5.21085970074205,434.2383083951708,706.32
sub16,DJ,3,878,2.735887419112751,8.094745074647923,0.933203468194864,173.05807410729108,3.8521072226967323,52.76859209173606,706.32
sub17,CMJ,1,540,6.539401058581996,14.102697212636816,2.9088846184445085,170.03458282566913,3.846149819358765,49.949997654009934,568.98
sub17,CMJ,2,656,6.672799715305196,8.349262595116326,2.0543191607133284,174.84556544458383,3.210590280352286,36.48398045854871,568.98
sub17,CMJ,3,615,6.12831669910337,8.975854314406181,0.31123129232950814,178.2350476800446,3.1449437505972857,36.999338242321,568.98
