spec_id,task,task_tag,direction,k_components,d_components,n,rho,rho_boot_median,rho_ci_lo_boot,rho_ci_hi_boot,rho_ci_lo_analytic,rho_ci_hi_analytic,kappa,kappa_boot_median,kappa_ci_lo_boot,kappa_ci_hi_boot,kappa_ci_lo_analytic,kappa_ci_hi_analytic,conflict_pct,rank
18,CMJ only,CMJ,Pristine,KV only,Both (GRF+LR),22,0.30095990965556185,0.3068181818181818,-0.1813528516307659,0.719796351735303,-0.13819018470796546,0.6412121936979119,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,39
26,CMJ only,CMJ,Reversed (all +1),KV only,Both (GRF+LR),22,0.30095990965556185,0.3047188730682775,-0.20252691458921873,0.7100741300379998,-0.13819018470796546,0.6412121936979119,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,40
32,DJ only,DJ,Pristine,All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.29983060417843027,0.30174134137397113,-0.14860557768924304,0.6906188303640883,-0.1394075893147383,0.6404806649738498,0.2727272727272727,0.2727272727272727,-0.1282051282051282,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,41
37,DJ only,DJ,Pristine,AD only,Peak GRF only,22,0.23884810841332585,0.243874612054705,-0.20664308604671078,0.6223157851772955,-0.20323311383492876,0.600038291430314,0.09090909090909094,0.09090909090909094,-0.3414634146341464,0.4883720930232558,-0.3252339810608868,0.5070521628790687,45.45454545454545,42
45,DJ only,DJ,Reversed (all +1),AD only,Peak GRF only,22,0.23884810841332585,0.24061428588069173,-0.1968138234899565,0.6192687341540553,-0.20323311383492876,0.600038291430314,0.09090909090909094,0.09090909090909094,-0.32000000000000006,0.4923853211009162,-0.3252339810608868,0.5070521628790687,45.45454545454545,43
19,CMJ only,CMJ,Pristine,KV only,Peak GRF only,22,0.23207227555053642,0.23696145124716553,-0.2559726962457338,0.6632582077725363,-0.21010026977945534,0.5954277627402608,0.4545454545454546,0.4545454545454546,0.05982905982905984,0.811965811965812,0.08233577562927158,0.8267551334616376,27.27272727272727,44
27,CMJ only,CMJ,Reversed (all +1),KV only,Peak GRF only,22,0.23207227555053642,0.2356289892479806,-0.2604019719378081,0.6857798165137615,-0.21010026977945534,0.5954277627402608,0.4545454545454546,0.4545454545454546,0.05982905982905984,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,45
33,DJ only,DJ,Pristine,All 4 (HF+KV+TL+AD),Peak GRF only,22,0.1993224167137211,0.19977168763819525,-0.2622020431328037,0.6031748287717588,-0.2426876559766207,0.572800970994181,0.09090909090909094,0.09090909090909094,-0.3163333333333333,0.467741935483871,-0.3252339810608868,0.5070521628790687,45.45454545454545,46
24,CMJ only,CMJ,Reversed (all +1),All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.20158102766798422,0.1978338880798835,-0.3099184291461507,0.6361750108313596,-0.24047182529749034,0.5743799287083272,0.09090909090909094,0.09090909090909094,-0.32000000000000006,0.47240930232557543,-0.3252339810608868,0.5070521628790687,45.45454545454545,47
25,CMJ only,CMJ,Reversed (all +1),All 4 (HF+KV+TL+AD),Peak GRF only,22,0.13833992094861663,0.14147472248800103,-0.3881952326901249,0.6086757956067841,-0.30082107567842237,0.5290950479439261,0.09090909090909094,0.09090909090909094,-0.32000000000000006,0.467741935483871,-0.3252339810608868,0.5070521628790687,45.45454545454545,48
